Blog	did	order	aren	online	getting	feel	security	team	wrote	blog	post	after	huge	data	using	those	access	hear	am	march	until	around	mostly	process	our	had	service	most	ways	build	based	best	think	answer	seems	enough	many	us	company	off	run	building	social	part	why	job	latest	episode	podcast	google	tech	her	search	report	feature	were	network	both	link	several	links	between	design	looking	single	called	line	stop	top	down	look	similar	comes	thinking	doing	yourself	person	who	work	details	ll	then	probably	know	someone	keep	working	other	gets	check	great	needs	always	case	place	long	call	super	world	self	care	bad	worst	ever	question	myself	almost	he	d	remember	good	things	let	sound	made	seen	need	subscription	money	less	david	making	fun	give	me	something	important	because	own	point	actually	including	while	issue	old	white	should	fact	local	take	does	cost	example	public	under	isn	often	rest	country	them	also	too	story	idea	against	state	his	twitter	com	mdash	america	york	times	love	little	away	where	said	its	name	these	show	through	day	real	takes	readers	make	possible	free	morning	late	night	monday	friend	book	women	helped	wasn	another	again	whether	could	back	deal	along	never	problem	being	within	week	without	full	companies	member	every	price	technology	instead	means	find	hard	try	short	really	kids	m	sure	home	play	next	year	built	going	trump	done	few	months	ago	didn	any	power	trying	right	thing	use	would	vote	lost	course	makes	sense	want	much	put	lot	bit	different	party	likely	especially	current	president	over	well	says	follow	american	posts	inside	million	three	users	asked	open	account	email	number	information	still	cars	ready	market	support	may	last	life	here	list	stuff	everything	high	easy	nothing	appeared	him	global	weekend	drive	friends	recently	share	favorite	man	two	only	used	see	anything	father	six	days	left	others	however	once	help	product	else	photos	art	giving	four	five	must	star	mark	media	experience	nbsp	doesn	matter	early	haven	fast	soon	customers	set	second	yet	type	machine	ve	turned	true	though	app	went	live	apps	games	past	future	news	together	website	site	start	later	across	read	web	group	b	each	goes	same	reading	browser	via	very	thanks	took	create	add	store	user	way	anyone	happens	yesterday	smart	living	changing	perhaps	small	images	results	wrong	click	maybe	come	side	simple	already	photo	change	game	needed	years	seem	complete	street	view	go	update	sale	before	tuesday	sometimes	health	found	watch	during	month	april	half	page	products	space	donald	national	ai	better	computer	able	big	got	say	buy	shows	might	step	business	weeks	series	deals	usually	amazon	available	police	according	pay	major	least	billion	announced	worth	copyright	law	internet	final	european	ios	apple	tv	download	c	talking	bring	finally	p	pro	far	season	event	content	model	she	learning	issues	college	science	language	music	systems	ceo	child	government	digital	u	hope	continue	ideas	key	project	industry	whole	learn	helping	end	having	decade	tools	cover	finding	stay	mobile	house	gmail	changed	emails	itself	started	easier	version	successful	told	original	published	reader	such	stories	entire	video	places	review	creative	mean	community	th	amp	enjoy	school	behind	known	youtube	article	wanted	become	articles	tell	move	special	spent	hours	personal	everyone	teach	minutes	image	difference	water	happening	since	released	family	recent	loved	large	paper	word	office	young	talk	thought	attention	system	reasons	turn	write	level	writing	won	e	rules	head	interesting	pretty	walking	camera	kind	john	facebook	please	saying	happened	paying	writers	robert	legal	friday
mezzoblue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	6	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Neil Gaiman's Journal	24	1	4	3	10	8	0	3	18	12	8	15	8	0	3	6	0	7	24	2	7	6	10	3	11	57	0	15	2	2	3	9	9	5	2	5	17	29	1	11	2	1	1	8	7	2	0	10	1	2	0	16	0	0	0	31	0	6	9	7	4	11	4	3	1	10	7	4	0	8	8	0	6	5	27	11	10	54	25	3	16	34	7	10	12	5	6	22	4	1	8	0	7	4	6	17	2	0	26	4	1	9	3	12	1	7	11	79	25	7	31	60	10	3	19	3	15	0	18	7	3	8	6	7	85	28	1	39	10	1	10	5	12	1	12	1	12	1	0	13	5	2	0	7	1	10	2	4	1	59	13	26	9	6	1	1	43	2	27	0	3	12	12	26	9	11	28	19	6	4	15	7	11	12	4	0	0	36	2	4	5	5	11	0	5	58	2	3	11	11	10	1	29	22	0	4	12	0	10	1	6	9	2	0	1	2	2	2	7	7	16	8	4	7	20	1	55	10	5	1	17	53	0	27	0	15	17	8	36	11	12	3	8	11	20	1	40	5	2	0	7	2	16	32	15	15	15	8	2	0	4	0	0	24	8	1	0	26	0	0	3	10	0	13	1	0	3	4	0	15	0	4	1	4	9	23	10	41	1	7	9	3	2	6	1	30	0	2	2	14	0	5	0	12	25	25	3	26	5	2	3	28	8	4	3	5	10	0	6	3	17	3	7	1	5	1	2	2	2	330	2	5	6	5	4	1	0	10	6	7	4	0	33	2	6	3	1	26	6	0	1	1	0	3	7	2	0	1	6	1	36	0	1	4	14	10	9	16	0	3	21	1	12	1	0	0	0	14	4	5	6	3	2	5	5	9	1	2	0	1	4	7	4	3	3	9	6	0	3	30	2	1	1	0	23	0	7	18	1	11	0	6	5	5	5	4	5	8	0	0	0	0	0	7	0	1	8	22	4	4	2	4	3	1	7	6	0	2	5	6	0	1	8	0	3	0	0	1	1	2	5	1	1	0	1	5	0	3	12	0	4	14	0	1	3	9	1	0	20	2	0	4	2	4	4	0	0	3	0	1	0	19	1	3	0	0	0	6	5	2	2	6	5	0	22	1	2	0	4	0	5	0	2	12	1	4	0	11	8	8	8	10	21	1	7	3	7	0	2	1	19	1	4	1	1	1	2	3	8	4	8	12	1	2	8	10	3	8	0	6	0	2	3	5	7	1	10	4	12	1	0	8	1	5	11	10	2	0	0	4	15	1	22	5	13	1	5	2	2	3	0	12	2	2	3	2	2	2	8	13	2	0
Derek Powazek	4	0	0	2	2	5	0	0	1	1	3	4	0	0	1	1	0	0	3	0	0	1	0	1	3	3	0	2	1	0	0	1	4	1	0	5	1	4	1	1	0	0	0	2	1	1	0	0	0	0	1	9	0	0	0	2	1	2	2	0	0	4	1	1	1	0	0	0	2	2	0	0	1	1	1	1	0	1	3	0	4	7	1	6	0	0	0	3	2	0	5	0	4	0	0	1	1	0	3	1	0	3	0	1	0	0	1	5	2	0	1	1	1	0	2	1	1	2	3	1	0	0	0	0	15	8	0	3	2	0	0	0	1	8	2	1	1	0	0	1	0	2	0	0	1	0	2	1	0	2	2	2	3	0	1	0	3	1	1	0	0	0	1	1	7	1	0	3	1	0	2	3	1	2	0	0	2	1	1	0	2	0	2	0	1	6	0	0	1	3	2	0	1	2	1	1	3	0	0	0	3	0	1	0	0	3	0	0	0	0	1	3	1	1	2	1	12	1	0	0	1	4	0	4	0	1	5	2	2	1	0	0	0	4	4	0	0	3	0	1	0	0	1	1	1	1	0	0	0	0	2	0	0	5	2	0	1	0	0	0	0	4	0	0	1	0	0	1	0	4	0	0	0	0	0	7	5	6	0	1	2	1	2	0	0	2	0	0	0	2	0	1	0	1	9	1	1	3	1	0	2	4	1	0	0	2	0	1	1	2	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	1	0	0	0	1	0	0	11	2	1	0	0	3	2	0	0	0	0	1	1	0	2	0	1	0	0	1	0	0	1	2	3	4	0	0	1	0	3	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	3	0	1	1	0	1	0	0	5	0	0	1	0	4	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	3	1	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	7	0	2	0	0	0	0	0	0	0	0	1	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	2	3	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	3	0	0	3	1	0	0	0	0	3	0	2	0	0	0	0	0	0	2	1	1	0	0	0	0	0	2	3	0	0	2
ProBlogger	1	0	0	1	0	0	0	0	1	62	53	1	1	0	1	1	0	0	0	0	0	1	0	5	11	2	0	4	12	5	6	3	0	0	0	0	2	1	0	2	0	3	0	3	5	6	0	7	13	0	1	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	5	0	0	2	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	1	0	0	1	0	1	0	0	1	0	1	1	3	0	1	0	0	0	0	1	0	2	0	1	1	3	0	2	0	2	0	1	2	0	0	0	3	0	0	2	1	0	0	0	0	0	2	0	0	5	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	7	0	0	3	6	0	2	0	1	0	0	0	0	0	4	0	1	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	3	2	1	0	1	7	0	0	0	0	1	0	0	0	1	0	0	4	0	1	0	0	0	4	1	0	7	2	1	3	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	1	0	8	0	5	0	0	0	1	1	40	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	3	3	1	2	0	0	0	0	1	0	0	0	1	3	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	10	3	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	2	0	1	0	0	1	0	1	1	0	0	0	0	1	3	0	0	0	7	0	0	0	0	1	3	1	0	0	0	1	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	4	0	0	0	0	5	0	0	0	0	1	0	0	1	6	4	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	2	0	0	0	0	0	3	0	0	0	6	0	0	11	0	0	4	0	0	0	0	2	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	2	0	8	1	4	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
Quick Online Tips	1	0	0	0	0	0	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	4	0	0	0	1	1	0	3	0	0	0	5	1	1	0	1	0	0	22	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	3	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	1	5	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	10	0	0	0	0	0	1	4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	23	0	0	0	0	0	0	0	5	0	2	0	0	4	1	5	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	5	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Schneier on Security	0	0	0	0	0	0	3	0	0	1	1	1	0	2	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Search Engine Roundtable	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	9	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29	0	0	13	0	1	1	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	1	0	0	2	1	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	8	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	7	0	0	2	3	0	0	0	0	0
ShoeMoney	1	0	2	4	0	2	0	1	0	0	0	0	0	1	2	1	1	0	0	0	1	3	0	0	0	0	1	6	5	0	1	5	7	1	2	1	1	5	0	3	0	1	3	0	9	0	0	0	0	4	0	0	10	0	0	2	0	1	0	0	0	0	3	2	1	0	0	3	5	7	4	1	1	0	2	2	0	5	6	0	1	5	1	7	2	2	1	4	0	4	0	0	1	0	1	1	1	0	5	1	0	3	0	1	0	0	0	2	4	2	1	1	5	1	1	1	6	1	10	0	0	4	0	1	9	2	1	3	2	0	3	0	0	0	0	0	4	4	0	4	2	0	0	0	1	1	1	1	0	1	1	3	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	2	1	7	1	0	0	0	0	0	9	1	1	1	0	0	0	0	0	2	0	0	1	1	0	2	2	0	1	1	1	1	0	2	3	0	1	0	3	0	0	1	1	3	0	2	0	2	0	2	1	1	0	0	2	1	11	0	1	4	1	1	1	1	0	2	1	4	8	4	0	1	0	1	2	1	4	2	1	2	1	0	0	0	0	0	4	3	0	0	0	0	0	0	3	0	0	0	1	1	1	1	0	0	1	5	0	0	1	1	10	0	0	0	2	2	1	0	1	0	1	1	1	1	0	0	0	2	2	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	3	1	0	3	0	2	0	0	1	1	0	0	1	2	1	9	1	1	0	2	1	0	0	0	0	3	0	0	0	0	4	0	1	2	1	0	3	0	0	2	1	0	0	0	0	1	1	1	1	3	7	3	2	0	0	0	3	1	1	0	0	2	2	5	0	0	1	0	0	1	3	0	1	1	0	2	0	1	0	0	5	0	2	0	0	2	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	2	0	2	1	7	0	0	0	0	0	0	0	0	2	1	2	1	0	2	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	3	1	2	0	2	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	4	2	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	1	0	1	0	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	1	0	0	1	1	3	0	0	1	1	3	0	2	0	6	0	0	2	1	2	0	0	0
Steve Pavlina	0	0	0	0	0	1	0	0	0	0	21	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	4	1	0	0	0	4	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	1	3	1	1	0	2	0	0	0	1	3	0	0	0	1	1	1	0	1	3	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	4	2	1	0	0	2	1	0	0	0	2	2	0	0	1	1	1	0	0	0	0	0	0	2	0	0	2	1	0	1	0	1	4	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	10	5	0	0	1	0	4	0	0	0	0	0	0	0	1	0	1	0	0	3	0	1	0	1	2	5	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	1	1	1	0	1	1	0	4	0	0	2	0	0	11	0	0	0	1	1	0	0	3	0	0	3	0	0	0	2	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	0	3	0	20	0	0	0	0	0	1	1	0	0	1	3	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	2	0	0	1	1	0	1	2	0	0	0	0	1	0	2	0	3	0	1	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	2	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ongoing by Tim Bray	2	2	0	1	0	0	0	0	0	3	1	1	0	2	0	2	0	1	0	0	0	0	2	1	1	4	1	0	0	0	1	2	4	1	0	0	2	1	0	1	1	0	0	1	1	0	0	0	0	2	2	0	0	1	0	4	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	2	0	1	2	0	5	1	0	2	2	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	1	1	4	1	1	2	3	0	0	1	1	0	2	1	0	0	2	0	2	0	0	2	1	0	0	0	1	0	3	3	5	0	0	0	0	0	0	0	0	1	0	0	0	5	2	1	1	3	0	0	1	0	0	0	0	0	1	0	1	0	3	5	1	1	1	0	1	2	1	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	2	1	0	0	2	0	1	0	0	0	1	3	1	2	0	3	1	0	0	1	5	0	2	0	0	1	0	0	1	1	0	1	0	2	0	1	0	0	1	0	0	2	2	0	4	0	0	0	0	2	1	0	3	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	3	1	0	2	1	0	0	0	0	1	0	0	0	0	0	1	1	3	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	0	1	0	0	2	0	0	2	0	1	0	1	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	4	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	1	1	2	0	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	2	0	0	0	0
